"Step","Name: compare_q_matrix-mlp - Log ZCSMC","Name: compare_q_matrix-mlp - Log ZCSMC__MIN","Name: compare_q_matrix-mlp - Log ZCSMC__MAX","Name: compare_q_matrix-stationary - Log ZCSMC","Name: compare_q_matrix-stationary - Log ZCSMC__MIN","Name: compare_q_matrix-stationary - Log ZCSMC__MAX","Name: compare_q_matrix-jc69 - Log ZCSMC","Name: compare_q_matrix-jc69 - Log ZCSMC__MIN","Name: compare_q_matrix-jc69 - Log ZCSMC__MAX"
"56","-5939.140234375","-5941.240234375","-5934.0654296875","-6112.8353515625","-6124.9326171875","-6105.537109375","-6399.698046875","-6408.599609375","-6391.857421875"
"57","-5938.5212890625","-5940.7822265625","-5932.8154296875","-6109.3693359375","-6120.888671875","-6102.3857421875","-6399.341015625","-6408.171875","-6391.5380859375"
"58","-5937.8724609375","-5940.3994140625","-5931.7158203125","-6105.9310546875","-6117.0927734375","-6099.2509765625","-6399.0029296875","-6407.779296875","-6391.232421875"
"59","-5937.1626953125","-5939.916015625","-5930.4306640625","-6102.620703125","-6113.33984375","-6096.146484375","-6398.681640625","-6407.42578125","-6390.9501953125"
"60","-5936.469140625","-5939.37109375","-5929.396484375","-6099.4326171875","-6109.609375","-6093.2060546875","-6398.3814453125","-6407.138671875","-6390.6923828125"
"61","-5935.8419921875","-5938.8251953125","-5928.396484375","-6096.3841796875","-6106.2119140625","-6090.41015625","-6398.097265625","-6406.8974609375","-6390.458984375"
"62","-5935.219921875","-5938.3857421875","-5927.458984375","-6093.3123046875","-6102.8388671875","-6087.4833984375","-6397.8197265625","-6406.6572265625","-6390.2529296875"
"63","-5934.74296875","-5937.9326171875","-5926.69140625","-6090.33203125","-6099.4765625","-6084.7333984375","-6397.5482421875","-6406.4140625","-6390.0732421875"
"64","-5934.2171875","-5937.3701171875","-5926.037109375","-6087.446875","-6096.41796875","-6082.0595703125","-6397.2849609375","-6406.166015625","-6389.91796875"
"65","-5933.7619140625","-5937.005859375","-5925.2421875","-6084.70546875","-6093.4013671875","-6079.3896484375","-6397.0283203125","-6405.908203125","-6389.78515625"
"66","-5933.25390625","-5936.765625","-5924.6318359375","-6081.9306640625","-6090.34765625","-6076.8935546875","-6396.7798828125","-6405.642578125","-6389.666015625"
"67","-5932.6857421875","-5936.173828125","-5923.765625","-6079.28671875","-6087.5244140625","-6074.236328125","-6396.541015625","-6405.3681640625","-6389.556640625"
"68","-5932.1083984375","-5935.673828125","-5922.9736328125","-6076.5955078125","-6084.5302734375","-6071.689453125","-6396.30234375","-6405.08984375","-6389.455078125"
"69","-5931.57890625","-5935.353515625","-5922.1005859375","-6074.096875","-6081.82421875","-6069.4755859375","-6396.0798828125","-6404.8076171875","-6389.3564453125"
"70","-5930.9955078125","-5935.0009765625","-5920.986328125","-6071.5767578125","-6078.990234375","-6067.1552734375","-6395.8595703125","-6404.529296875","-6389.263671875"
"71","-5930.421484375","-5934.52734375","-5920.09765625","-6069.10546875","-6076.3955078125","-6064.794921875","-6395.6396484375","-6404.2548828125","-6389.166015625"
"72","-5929.92265625","-5934.185546875","-5919.2822265625","-6066.7396484375","-6073.8583984375","-6062.5986328125","-6395.424609375","-6403.990234375","-6389.0703125"
"73","-5929.4275390625","-5933.9619140625","-5918.4287109375","-6064.3736328125","-6071.291015625","-6060.2822265625","-6395.2142578125","-6403.734375","-6388.970703125"
"74","-5928.856640625","-5933.4306640625","-5917.39453125","-6062.0912109375","-6068.7451171875","-6058.158203125","-6395.009765625","-6403.486328125","-6388.8671875"
"75","-5928.3056640625","-5932.9990234375","-5916.609375","-6059.8806640625","-6066.44921875","-6055.7958984375","-6394.8142578125","-6403.248046875","-6388.7646484375"
"76","-5927.6916015625","-5932.638671875","-5915.5732421875","-6057.6451171875","-6063.9130859375","-6053.5732421875","-6394.625390625","-6403.013671875","-6388.6591796875"
"77","-5927.084375","-5932.18359375","-5914.34765625","-6055.5615234375","-6061.7744140625","-6051.458984375","-6394.446484375","-6402.7802734375","-6388.552734375"
"78","-5926.4701171875","-5931.814453125","-5913.1962890625","-6053.448046875","-6059.4345703125","-6049.404296875","-6394.2748046875","-6402.546875","-6388.447265625"
"79","-5925.9001953125","-5931.4853515625","-5912.2626953125","-6051.387890625","-6057.234375","-6047.2861328125","-6394.1076171875","-6402.31640625","-6388.3427734375"
"80","-5925.3142578125","-5931.078125","-5911.1455078125","-6049.3328125","-6055.0302734375","-6045.2529296875","-6393.9439453125","-6402.087890625","-6388.2421875"
"81","-5924.612890625","-5930.5419921875","-5909.9853515625","-6047.4103515625","-6053.00390625","-6043.3037109375","-6393.7853515625","-6401.86328125","-6388.146484375"
"82","-5923.979296875","-5930.27734375","-5908.7587890625","-6045.5119140625","-6050.857421875","-6041.443359375","-6393.6310546875","-6401.642578125","-6388.056640625"
"83","-5923.2873046875","-5929.81640625","-5907.7197265625","-6043.5958984375","-6048.875","-6039.458984375","-6393.483203125","-6401.42578125","-6387.9697265625"
"84","-5922.5998046875","-5929.5126953125","-5906.2275390625","-6041.7697265625","-6046.8076171875","-6037.6572265625","-6393.3412109375","-6401.2109375","-6387.890625"
"85","-5921.8689453125","-5929.072265625","-5904.9677734375","-6039.938671875","-6044.8232421875","-6035.7666015625","-6393.2044921875","-6401","-6387.818359375"
"86","-5921.176171875","-5928.7705078125","-5903.548828125","-6038.2087890625","-6043.064453125","-6034.0859375","-6393.071484375","-6400.7900390625","-6387.7509765625"
"87","-5920.432421875","-5928.2998046875","-5902.1962890625","-6036.4833984375","-6041.1982421875","-6032.2724609375","-6392.9416015625","-6400.5830078125","-6387.689453125"
"88","-5919.6400390625","-5927.8466796875","-5900.7451171875","-6034.735546875","-6039.3310546875","-6030.638671875","-6392.814453125","-6400.3779296875","-6387.6318359375"
"89","-5918.8533203125","-5927.392578125","-5899.3173828125","-6033.1248046875","-6037.697265625","-6028.939453125","-6392.6896484375","-6400.173828125","-6387.580078125"
"90","-5918.024609375","-5926.9658203125","-5897.7646484375","-6031.4892578125","-6035.9140625","-6027.4345703125","-6392.56796875","-6399.9736328125","-6387.53125"
"91","-5917.1990234375","-5926.5087890625","-5896.236328125","-6029.8953125","-6034.2802734375","-6025.91015625","-6392.450390625","-6399.775390625","-6387.484375"
"92","-5916.3408203125","-5926.0625","-5894.654296875","-6028.36171875","-6032.654296875","-6024.3544921875","-6392.3349609375","-6399.5810546875","-6387.44140625"
"93","-5915.4166015625","-5925.53515625","-5893.0654296875","-6026.8205078125","-6030.939453125","-6022.7998046875","-6392.2224609375","-6399.3876953125","-6387.4013671875"
"94","-5914.51484375","-5925.0390625","-5891.482421875","-6025.3767578125","-6029.5537109375","-6021.443359375","-6392.112890625","-6399.2001953125","-6387.361328125"
"95","-5913.6482421875","-5924.6337890625","-5890.0224609375","-6023.9123046875","-6027.9189453125","-6019.974609375","-6392.0060546875","-6399.0107421875","-6387.32421875"
"96","-5912.54921875","-5924.0556640625","-5887.873046875","-6022.443359375","-6026.5234375","-6018.4892578125","-6391.901171875","-6398.82421875","-6387.2890625"
"97","-5911.75390625","-5923.5673828125","-5887.107421875","-6021.05078125","-6025.0126953125","-6017.0908203125","-6391.7970703125","-6398.638671875","-6387.2509765625"
"98","-5910.8626953125","-5923.0400390625","-5886.1357421875","-6019.6646484375","-6023.5341796875","-6015.73828125","-6391.6962890625","-6398.4521484375","-6387.21875"
"99","-5909.975390625","-5922.4931640625","-5885.0888671875","-6018.3318359375","-6022.09765625","-6014.5146484375","-6391.5974609375","-6398.26953125","-6387.1875"
"100","-5908.9376953125","-5921.7978515625","-5883.8798828125","-6017.023828125","-6020.6708984375","-6013.146484375","-6391.5","-6398.0859375","-6387.1572265625"
"101","-5907.95546875","-5921.2783203125","-5882.7861328125","-6015.7166015625","-6019.4248046875","-6012.0029296875","-6391.40546875","-6397.908203125","-6387.1279296875"
"102","-5906.9439453125","-5920.806640625","-5881.591796875","-6014.4515625","-6018.0849609375","-6010.642578125","-6391.3125","-6397.7275390625","-6387.1025390625"
"103","-5905.93671875","-5920.2333984375","-5880.5234375","-6013.2248046875","-6016.6337890625","-6009.45703125","-6391.2208984375","-6397.5498046875","-6387.078125"
"104","-5904.9322265625","-5919.908203125","-5879.42578125","-6012.0423828125","-6015.5419921875","-6008.2587890625","-6391.1330078125","-6397.3759765625","-6387.0556640625"
"105","-5903.9134765625","-5919.1787109375","-5878.5927734375","-6010.7908203125","-6014.2021484375","-6007.2060546875","-6391.0453125","-6397.2021484375","-6387.03515625"
"106","-5902.9083984375","-5918.71875","-5877.658203125","-6009.6650390625","-6013.0517578125","-6006.078125","-6390.9595703125","-6397.0302734375","-6387.0146484375"
"107","-5902.2619140625","-5918.0146484375","-5876.8818359375","-6008.5072265625","-6011.873046875","-6004.8330078125","-6390.876171875","-6396.861328125","-6386.9970703125"
"108","-5901.0580078125","-5917.390625","-5875.8369140625","-6007.395703125","-6010.8212890625","-6003.8212890625","-6390.7951171875","-6396.6953125","-6386.978515625"
"109","-5899.7029296875","-5916.107421875","-5874.7890625","-6006.31953125","-6009.591796875","-6002.7041015625","-6390.7150390625","-6396.529296875","-6386.962890625"
"110","-5899.0255859375","-5917.1357421875","-5873.7275390625","-6005.2017578125","-6008.4453125","-6001.6923828125","-6390.6365234375","-6396.3662109375","-6386.947265625"
"111","-5898.0716796875","-5917.8896484375","-5872.7666015625","-6004.1501953125","-6007.2734375","-6000.6962890625","-6390.558984375","-6396.2060546875","-6386.9306640625"
"112","-5896.9625","-5917.8525390625","-5871.7197265625","-6003.0951171875","-6006.216796875","-5999.62109375","-6390.4833984375","-6396.046875","-6386.916015625"
"113","-5896.030859375","-5917.001953125","-5870.75","-6002.13984375","-6005.251953125","-5998.767578125","-6390.40859375","-6395.890625","-6386.9013671875"
"114","-5894.687890625","-5915.4013671875","-5869.7275390625","-6001.0955078125","-6004.1455078125","-5997.7685546875","-6390.3353515625","-6395.736328125","-6386.88671875"
"115","-5893.27109375","-5913.9697265625","-5868.921875","-6000.0791015625","-6003.16796875","-5996.7138671875","-6390.262890625","-6395.5810546875","-6386.873046875"
"116","-5892.048046875","-5912.91796875","-5867.904296875","-5999.1771484375","-6002.31640625","-5995.82421875","-6390.1916015625","-6395.4296875","-6386.8583984375"
"117","-5890.9140625","-5912.037109375","-5867.2783203125","-5998.2197265625","-6001.30859375","-5994.9853515625","-6390.121484375","-6395.2783203125","-6386.8466796875"
"118","-5889.926953125","-5912.8046875","-5866.619140625","-5997.29375","-6000.4267578125","-5994.091796875","-6390.0515625","-6395.12890625","-6386.83203125"
"119","-5889.183984375","-5914.1318359375","-5865.765625","-5996.3640625","-5999.3994140625","-5993.208984375","-6389.984375","-6394.98046875","-6386.822265625"
"120","-5888.2123046875","-5914.3798828125","-5864.84375","-5995.5060546875","-5998.5654296875","-5992.392578125","-6389.9169921875","-6394.8330078125","-6386.8095703125"
"121","-5886.88359375","-5913.5947265625","-5864.03515625","-5994.6671875","-5997.6083984375","-5991.6259765625","-6389.8513671875","-6394.6875","-6386.7978515625"
"122","-5885.499609375","-5912.0361328125","-5863.388671875","-5993.737109375","-5996.716796875","-5990.7099609375","-6389.7859375","-6394.5439453125","-6386.787109375"
"123","-5884.063671875","-5910.30859375","-5862.5595703125","-5992.903125","-5995.93359375","-5989.7958984375","-6389.7216796875","-6394.3994140625","-6386.7763671875"
"124","-5882.0228515625","-5906.3603515625","-5861.9453125","-5992.0548828125","-5995.005859375","-5989.0712890625","-6389.6583984375","-6394.255859375","-6386.7666015625"
"125","-5881.641796875","-5908.7685546875","-5861.345703125","-5991.2703125","-5994.2548828125","-5988.314453125","-6389.59609375","-6394.1162109375","-6386.755859375"
"126","-5880.5318359375","-5908.162109375","-5860.55078125","-5990.4732421875","-5993.427734375","-5987.5498046875","-6389.53515625","-6393.9765625","-6386.74609375"
"127","-5879.0724609375","-5907.716796875","-5859.74609375","-5989.7076171875","-5992.6787109375","-5986.7255859375","-6389.4751953125","-6393.8388671875","-6386.73828125"
"128","-5878.46171875","-5906.9423828125","-5859.1962890625","-5988.92734375","-5991.8193359375","-5986.06640625","-6389.4158203125","-6393.7041015625","-6386.73046875"
"129","-5877.603515625","-5906.3125","-5858.6787109375","-5988.153515625","-5991.072265625","-5985.3974609375","-6389.3578125","-6393.568359375","-6386.7216796875"
"130","-5876.1822265625","-5903.9541015625","-5857.9921875","-5987.455078125","-5990.3642578125","-5984.7001953125","-6389.3","-6393.435546875","-6386.7138671875"
"131","-5875.578515625","-5905.34375","-5857.3330078125","-5986.714453125","-5989.59765625","-5984.0322265625","-6389.24375","-6393.3037109375","-6386.70703125"
"132","-5874.7404296875","-5904.9345703125","-5856.638671875","-5985.9974609375","-5988.833984375","-5983.326171875","-6389.1876953125","-6393.1728515625","-6386.69921875"
"133","-5874.6865234375","-5904.2939453125","-5855.9423828125","-5985.248828125","-5988.111328125","-5982.6865234375","-6389.1328125","-6393.046875","-6386.69140625"
"134","-5873.9427734375","-5903.45703125","-5855.3193359375","-5984.5951171875","-5987.5390625","-5981.919921875","-6389.0796875","-6392.9208984375","-6386.685546875"
"135","-5872.669921875","-5902.20703125","-5854.6455078125","-5983.9109375","-5986.677734375","-5981.32421875","-6389.0255859375","-6392.79296875","-6386.677734375"
"136","-5871.60234375","-5901.90625","-5853.994140625","-5983.226953125","-5985.9873046875","-5980.6396484375","-6388.9732421875","-6392.669921875","-6386.671875"
"137","-5870.5708984375","-5900.6806640625","-5853.3134765625","-5982.5322265625","-5985.2578125","-5980.0791015625","-6388.922265625","-6392.5478515625","-6386.666015625"
"138","-5869.719921875","-5899.8759765625","-5852.7158203125","-5981.9255859375","-5984.5908203125","-5979.466796875","-6388.870703125","-6392.42578125","-6386.6591796875"
"139","-5869.2533203125","-5900.6171875","-5852.080078125","-5981.2935546875","-5984.0673828125","-5978.849609375","-6388.8212890625","-6392.306640625","-6386.654296875"
"140","-5868.5951171875","-5900.1142578125","-5851.5048828125","-5980.6822265625","-5983.4541015625","-5978.32421875","-6388.771875","-6392.19140625","-6386.646484375"
"141","-5867.681640625","-5897.9228515625","-5850.8369140625","-5980.073046875","-5982.845703125","-5977.765625","-6388.7236328125","-6392.0732421875","-6386.6416015625"
"142","-5866.905078125","-5898.654296875","-5850.158203125","-5979.450390625","-5982.0458984375","-5977.0830078125","-6388.6765625","-6391.9599609375","-6386.63671875"
"143","-5866.275","-5897.830078125","-5849.6943359375","-5978.8705078125","-5981.5849609375","-5976.4189453125","-6388.6302734375","-6391.8466796875","-6386.6328125"
"144","-5865.20390625","-5896.7568359375","-5848.91015625","-5978.2861328125","-5980.892578125","-5976.0693359375","-6388.5845703125","-6391.734375","-6386.626953125"
"145","-5864.590234375","-5895.4189453125","-5849.462890625","-5977.6986328125","-5980.3134765625","-5975.521484375","-6388.5392578125","-6391.6240234375","-6386.623046875"
"146","-5864.2001953125","-5896.14453125","-5849.7099609375","-5977.10390625","-5979.70703125","-5974.982421875","-6388.4953125","-6391.5166015625","-6386.6181640625"
"147","-5863.90703125","-5895.79296875","-5849.7373046875","-5976.6419921875","-5979.1865234375","-5974.5263671875","-6388.4517578125","-6391.4091796875","-6386.61328125"
"148","-5863.1072265625","-5894.0390625","-5849.1298828125","-5976.062109375","-5978.6240234375","-5973.8798828125","-6388.409375","-6391.3046875","-6386.6083984375"
"149","-5862.628515625","-5894.4697265625","-5848.072265625","-5975.5140625","-5978.0244140625","-5973.4638671875","-6388.3685546875","-6391.203125","-6386.60546875"
"150","-5861.7740234375","-5893.5","-5846.8828125","-5975.0333984375","-5977.48828125","-5972.921875","-6388.3275390625","-6391.1005859375","-6386.6005859375"
"151","-5860.83984375","-5892.38671875","-5846.27734375","-5974.453125","-5976.9130859375","-5972.3955078125","-6388.2875","-6390.998046875","-6386.5966796875"
"152","-5859.8455078125","-5890.970703125","-5845.5126953125","-5974.0068359375","-5976.3984375","-5972.0107421875","-6388.2486328125","-6390.900390625","-6386.591796875"
"153","-5859.2373046875","-5890.69921875","-5845.1181640625","-5973.4703125","-5975.861328125","-5971.5390625","-6388.21015625","-6390.802734375","-6386.5888671875"
"154","-5858.71953125","-5890.341796875","-5844.734375","-5973.012109375","-5975.4697265625","-5971.046875","-6388.172265625","-6390.7060546875","-6386.5849609375"
"155","-5858.2400390625","-5890.2294921875","-5844.02734375","-5972.4701171875","-5974.8486328125","-5970.513671875","-6388.135546875","-6390.611328125","-6386.58203125"
"156","-5857.5701171875","-5889.498046875","-5843.21484375","-5971.990625","-5974.337890625","-5970.1435546875","-6388.0994140625","-6390.5185546875","-6386.578125"
"157","-5856.5615234375","-5885.80859375","-5842.57421875","-5971.54140625","-5973.845703125","-5969.6865234375","-6388.063671875","-6390.4267578125","-6386.57421875"
"158","-5856.507421875","-5887.0693359375","-5841.7373046875","-5971.0544921875","-5973.3779296875","-5969.154296875","-6388.0294921875","-6390.3359375","-6386.572265625"
"159","-5855.8552734375","-5885.908203125","-5841.1591796875","-5970.645703125","-5973.0146484375","-5968.712890625","-6387.9955078125","-6390.2490234375","-6386.568359375"
"160","-5855.1486328125","-5884.861328125","-5840.609375","-5970.187109375","-5972.45703125","-5968.4365234375","-6387.9626953125","-6390.1611328125","-6386.5654296875"
"161","-5854.21640625","-5883.1806640625","-5839.919921875","-5969.775390625","-5971.9677734375","-5968.0810546875","-6387.9306640625","-6390.076171875","-6386.5634765625"
"162","-5853.6037109375","-5883.1396484375","-5839.4775390625","-5969.3103515625","-5971.5830078125","-5967.5341796875","-6387.8982421875","-6389.9892578125","-6386.5595703125"
"163","-5852.85703125","-5882.16015625","-5838.7255859375","-5968.897265625","-5971.119140625","-5967.2314453125","-6387.8671875","-6389.908203125","-6386.5576171875"
"164","-5852.1283203125","-5881.126953125","-5837.990234375","-5968.4890625","-5970.728515625","-5966.8271484375","-6387.8369140625","-6389.826171875","-6386.5537109375"
"165","-5852.3890625","-5879.91796875","-5837.2021484375","-5968.0611328125","-5970.2578125","-5966.419921875","-6387.8072265625","-6389.7451171875","-6386.552734375"
"166","-5852.1109375","-5878.6044921875","-5836.712890625","-5967.63671875","-5969.7724609375","-5966.0390625","-6387.7783203125","-6389.66796875","-6386.5478515625"
"167","-5851.15859375","-5874.591796875","-5836.3740234375","-5967.2296875","-5969.4453125","-5965.6474609375","-6387.7494140625","-6389.5888671875","-6386.546875"
