"Step","Name: compare_k-512 - Log ZCSMC","Name: compare_k-512 - Log ZCSMC__MIN","Name: compare_k-512 - Log ZCSMC__MAX","Name: compare_k-256 - Log ZCSMC","Name: compare_k-256 - Log ZCSMC__MIN","Name: compare_k-256 - Log ZCSMC__MAX","Name: compare_k-128 - Log ZCSMC","Name: compare_k-128 - Log ZCSMC__MIN","Name: compare_k-128 - Log ZCSMC__MAX","Name: compare_k-64 - Log ZCSMC","Name: compare_k-64 - Log ZCSMC__MIN","Name: compare_k-64 - Log ZCSMC__MAX","Name: compare_k-32 - Log ZCSMC","Name: compare_k-32 - Log ZCSMC__MIN","Name: compare_k-32 - Log ZCSMC__MAX","Name: compare_k-16 - Log ZCSMC","Name: compare_k-16 - Log ZCSMC__MIN","Name: compare_k-16 - Log ZCSMC__MAX"
"53","-5968.1455078125","-6014.78759765625","-5929.875","-6027.8076171875","-6126.2783203125","-5929.3369140625","-6002.048828125","-6081.28466796875","-5914.38818359375","-6004.9677734375","-6077.001953125","-5961.31005859375","-6030.462076822917","-6109.00048828125","-5947.59228515625","-6118.97802734375","-6179.900390625","-6086.25244140625"
"54","-5963.324055989583","-6014.9208984375","-5919.45458984375","-5944.540771484375","-5972.7900390625","-5916.29150390625","-6026.28662109375","-6181.3515625","-5928.39794921875","-5950.435872395833","-5979.28515625","-5925.125","-6127.839192708333","-6175.95947265625","-6079.3525390625","-6116.146158854167","-6146.154296875","-6063.29443359375"
"55","-6001.39453125","-6017.69140625","-5970.7392578125","-5980.784423828125","-6006.2705078125","-5955.29833984375","-5973.386393229167","-5993.21875","-5957.06396484375","-6010.558756510417","-6087.49267578125","-5933.46240234375","-6088.257161458333","-6110.021484375","-6063.6494140625","-6163.013346354167","-6404.9140625","-5985.75732421875"
"56","-5951.815592447917","-5993.80078125","-5927.9501953125","-5947.26953125","-5975.134765625","-5919.404296875","-6025.79638671875","-6138.71630859375","-5966.07421875","-6012.0556640625","-6071.6640625","-5965.8388671875","-6084.748860677083","-6112.1416015625","-6057.7412109375","-6206.39697265625","-6346.529296875","-6132.9501953125"
"57","-5959.314453125","-6011.640625","-5927.265625","-5950.044189453125","-5964.828125","-5935.26025390625","-5943.095052083333","-5987.67333984375","-5914.78857421875","-5994.613606770833","-6039.056640625","-5967.41748046875","-6016.3984375","-6043.96630859375","-5979.333984375","-6229.55126953125","-6365.4921875","-6126.91650390625"
"58","-5940.7763671875","-5953.529296875","-5928.7998046875","-5968.386962890625","-5970.25341796875","-5966.5205078125","-5954.846516927083","-6020.6669921875","-5911.4189453125","-5996.1298828125","-6100.42041015625","-5938.93017578125","-6007.808268229167","-6104.38525390625","-5942.4404296875","-6336.756022135417","-6612.0283203125","-6197.81494140625"
"59","-5996.044759114583","-6015.25390625","-5973.0927734375","-5951.193115234375","-5978.90087890625","-5923.4853515625","-5957.58203125","-5965.5791015625","-5946.83935546875","-5963.131184895833","-5988.90625","-5948.5595703125","-6003.01318359375","-6056.7333984375","-5933.2578125","-6343.5712890625","-6662.57666015625","-6173.41259765625"
"60","-5945.298014322917","-5952.73046875","-5931.31982421875","-6039.24462890625","-6065.21875","-6013.2705078125","-6030.953450520833","-6146.9345703125","-5969.677734375","-6070.608072916667","-6161.5673828125","-5959.7333984375","-6099.591796875","-6150.6240234375","-6052.1640625","-6045.368977864583","-6116.94091796875","-6007.8115234375"
"61","-5945.724446614583","-6004.6064453125","-5916.27001953125","-6045.052490234375","-6080.79736328125","-6009.3076171875","-6006.477213541667","-6141.9150390625","-5937.26708984375","-5970.435872395833","-6004.228515625","-5939.0615234375","-6172.47265625","-6516.7412109375","-5999.41796875","-6315.826171875","-6740.7548828125","-6062.919921875"
"62","-5951.199055989583","-5983.54833984375","-5914.1962890625","-5984.183837890625","-6046.38427734375","-5921.9833984375","-5957.78369140625","-6041.69384765625","-5908.494140625","-6014.40576171875","-6103.55224609375","-5969.00341796875","-6006.979817708333","-6070.6083984375","-5947.443359375","-6160.98876953125","-6244.48046875","-6063.83544921875"
"63","-5957.243977864583","-6001.78076171875","-5914.1435546875","-5983.20947265625","-6044.9091796875","-5921.509765625","-5941.972005208333","-5961.36962890625","-5908.26025390625","-5951.1953125","-5969.0751953125","-5926.7978515625","-6135.118977864583","-6203.15234375","-6061.763671875","-6137.5576171875","-6300.26953125","-6004.7626953125"
"64","-5963.517252604167","-5976.10107421875","-5954.84814453125","-5985.4873046875","-5987.94287109375","-5983.03173828125","-5998.323079427083","-6075.04248046875","-5932.962890625","-5984.853190104167","-6040.9208984375","-5930.8505859375","-6078.038736979167","-6176.7802734375","-6004.9169921875","-6338.52685546875","-6562.19140625","-6128.1103515625"
"65","-5943.156087239583","-5957.62255859375","-5920.060546875","-6088.71435546875","-6127.205078125","-6050.2236328125","-5965.421061197917","-5992.07666015625","-5951.99609375","-6040.7373046875","-6150.564453125","-5959.18994140625","-6075.528157552083","-6154.33740234375","-6017.4287109375","-6262.69091796875","-6718.18896484375","-6010.3603515625"
"66","-5933.020670572917","-5950.41796875","-5914.482421875","-5981.045166015625","-5993.841796875","-5968.24853515625","-6010.874674479167","-6131.00390625","-5905.6611328125","-6061.68603515625","-6123.986328125","-5998.68359375","-6099.5927734375","-6212.9111328125","-6037.7861328125","-6134.55908203125","-6316.99072265625","-5981.5771484375"
"67","-5922.833984375","-5933.99658203125","-5914.32275390625","-5979.322998046875","-6004.8671875","-5953.77880859375","-5990.92041015625","-6058.896484375","-5946.5927734375","-5959.835123697917","-5999.4189453125","-5939.17626953125","-6005.283528645833","-6057.2880859375","-5933.21923828125","-6210.806966145833","-6567.23486328125","-6015.46435546875"
"68","-5972.064290364583","-5982.140625","-5952.5546875","-5981.52880859375","-6021.01171875","-5942.0458984375","-5961.248697916667","-6026.40576171875","-5907.78662109375","-6076.84326171875","-6309.77978515625","-5915.46826171875","-6071.024576822917","-6123.59375","-6024.29541015625","-6083.49755859375","-6176.7294921875","-5967.884765625"
"69","-5952.62646484375","-5972.65283203125","-5934.59765625","-5922.572265625","-5927.345703125","-5917.798828125","-5950.056640625","-5982.0048828125","-5908.32080078125","-5953.734375","-5981.486328125","-5929.0458984375","-6021.495442708333","-6057.98486328125","-5968.89404296875","-6194.44775390625","-6416.5419921875","-6081.3876953125"
"70","-5981.87353515625","-6022.2099609375","-5913.06787109375","-5948.35107421875","-5983.6689453125","-5913.033203125","-5955.358072916667","-5995.62158203125","-5909.4921875","-6017.107747395833","-6171.078125","-5934.34765625","-6059.987955729167","-6203.35302734375","-5978.1240234375","-6096.0498046875","-6167.048828125","-6034.47265625"
"71","-5953.3994140625","-6005.181640625","-5919.763671875","-5941.38330078125","-5971.216796875","-5911.5498046875","-5940.766276041667","-5972.19091796875","-5909.9921875","-5999.780436197917","-6039.1796875","-5956.951171875","-6211.98828125","-6367.3994140625","-6097.0791015625","-6483.635091145833","-6699.4150390625","-6261.38720703125"
"72","-5954.506998697917","-5976.17578125","-5914.46142578125","-5985.080078125","-6051.2177734375","-5918.9423828125","-5986.428385416667","-6039.81640625","-5941.98828125","-5978.268229166667","-5985.2841796875","-5965.5693359375","-6093.228678385417","-6229.8740234375","-5996.015625","-6102.164225260417","-6222.9306640625","-6034.72216796875"
"73","-5923.262858072917","-5931.2763671875","-5912.73974609375","-5993.33544921875","-6034.30859375","-5952.3623046875","-5988.109700520833","-6074.87255859375","-5938.76123046875","-5999.821126302083","-6062.3916015625","-5947.6875","-6070.341634114583","-6147.27001953125","-5938.9765625","-6183.283854166667","-6317.97265625","-6050.27587890625"
"74","-5950.807291666667","-5986.5869140625","-5926.755859375","-5971.063232421875","-5974.91552734375","-5967.2109375","-5971.4462890625","-6088.2294921875","-5910.97119140625","-6015.682779947917","-6099.435546875","-5931.951171875","-6073.988932291667","-6233.8203125","-5974.3369140625","-6371.42431640625","-6528.001953125","-6108.119140625"
"75","-5972.543131510417","-6039.05908203125","-5931.06640625","-6090.95751953125","-6235.330078125","-5946.5849609375","-5994.008463541667","-6093.53759765625","-5912.46728515625","-5982.662272135417","-6036.40234375","-5916.86572265625","-6061.42529296875","-6162.34912109375","-6005.34814453125","-6252.323893229167","-6602.60986328125","-6053.6494140625"
"76","-5930.239908854167","-5944.11572265625","-5920.32666015625","-5952.79150390625","-5958.8203125","-5946.7626953125","-5944.005208333333","-6010.35302734375","-5906.6962890625","-6046.557454427083","-6203.6396484375","-5955.599609375","-6167.181803385417","-6450.76904296875","-5993.4267578125","-6059.921549479167","-6176.6279296875","-5974.80322265625"
"77","-6049.105305989583","-6141.74462890625","-5926.61767578125","-5965.624267578125","-6004.9560546875","-5926.29248046875","-5919.442057291667","-5933.9423828125","-5910.10986328125","-5994.064453125","-6109.90087890625","-5931.2744140625","-6044.763997395833","-6099.1259765625","-5945.2548828125","-6021.216634114583","-6068.72412109375","-5933.48583984375"
"78","-5916.911458333333","-5932.5576171875","-5907.6552734375","-5916.8076171875","-5921.8720703125","-5911.7431640625","-5965.418782552083","-5989.0673828125","-5934.154296875","-6009.578287760417","-6047.77880859375","-5974.8388671875","-6115.569010416667","-6234.10546875","-6033.71533203125","-6153.596516927083","-6186.51171875","-6105.58740234375"
"79","-6008.611653645833","-6043.859375","-5971.0107421875","-5912.883544921875","-5914.88232421875","-5910.884765625","-5984.504069010417","-6030.154296875","-5909.40966796875","-6123.966634114583","-6268.27734375","-6027.4306640625","-6079.265299479167","-6145.23779296875","-5989.703125","-6335.465006510417","-6458.58447265625","-6195.998046875"
"80","-5919.9111328125","-5942.4677734375","-5904.39013671875","-5958.20849609375","-5972.583984375","-5943.8330078125","-5930.389322916667","-5945.0166015625","-5910.865234375","-5985.609212239583","-6010.67529296875","-5945.869140625","-6098.655436197917","-6128.38818359375","-6064.09375","-6102.854654947917","-6189.7119140625","-6033.03466796875"
