"Wall Time","DS8-phase2 - _step","DS8-phase2 - _step__MIN","DS8-phase2 - _step__MAX","DS8-phase2 - Log ZCSMC","DS8-phase2 - Log ZCSMC__MIN","DS8-phase2 - Log ZCSMC__MAX","DS8-phase1 - _step","DS8-phase1 - _step__MIN","DS8-phase1 - _step__MAX","DS8-phase1 - Log ZCSMC","DS8-phase1 - Log ZCSMC__MIN","DS8-phase1 - Log ZCSMC__MAX","DS6-phase2 - _step","DS6-phase2 - _step__MIN","DS6-phase2 - _step__MAX","DS6-phase2 - Log ZCSMC","DS6-phase2 - Log ZCSMC__MIN","DS6-phase2 - Log ZCSMC__MAX","DS6-phase1 - _step","DS6-phase1 - _step__MIN","DS6-phase1 - _step__MAX","DS6-phase1 - Log ZCSMC","DS6-phase1 - Log ZCSMC__MIN","DS6-phase1 - Log ZCSMC__MAX","DS5-phase2 - _step","DS5-phase2 - _step__MIN","DS5-phase2 - _step__MAX","DS5-phase2 - Log ZCSMC","DS5-phase2 - Log ZCSMC__MIN","DS5-phase2 - Log ZCSMC__MAX","DS5-phase1 - _step","DS5-phase1 - _step__MIN","DS5-phase1 - _step__MAX","DS5-phase1 - Log ZCSMC","DS5-phase1 - Log ZCSMC__MIN","DS5-phase1 - Log ZCSMC__MAX","DS4-phase2 - _step","DS4-phase2 - _step__MIN","DS4-phase2 - _step__MAX","DS4-phase2 - Log ZCSMC","DS4-phase2 - Log ZCSMC__MIN","DS4-phase2 - Log ZCSMC__MAX","DS4-phase1 - _step","DS4-phase1 - _step__MIN","DS4-phase1 - _step__MAX","DS4-phase1 - Log ZCSMC","DS4-phase1 - Log ZCSMC__MIN","DS4-phase1 - Log ZCSMC__MAX","DS3-phase2 - _step","DS3-phase2 - _step__MIN","DS3-phase2 - _step__MAX","DS3-phase2 - Log ZCSMC","DS3-phase2 - Log ZCSMC__MIN","DS3-phase2 - Log ZCSMC__MAX","DS3-phase1 - _step","DS3-phase1 - _step__MIN","DS3-phase1 - _step__MAX","DS3-phase1 - Log ZCSMC","DS3-phase1 - Log ZCSMC__MIN","DS3-phase1 - Log ZCSMC__MAX"
"1727053459.5819876","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","22","22","-32725.353515625","-32725.353515625","-32725.353515625"
"1727053461.9956954","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","23","23","-32959.6171875","-32959.6171875","-32959.6171875"
"1727053463.8953989","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","24","24","-32745.86328125","-32745.86328125","-32745.86328125"
"1727053465.8307855","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","25","25","-32916.85546875","-32916.85546875","-32916.85546875"
"1727053467.8048813","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","26","26","-32905.24609375","-32905.24609375","-32905.24609375"
"1727053470.2641528","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","27","27","-32708.8828125","-32708.8828125","-32708.8828125"
"1727053472.1918519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","28","28","-32952.2265625","-32952.2265625","-32952.2265625"
"1727053474.0732648","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","29","29","-32764.626953125","-32764.626953125","-32764.626953125"
"1727053476.05591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","30","30","-32746.234375","-32746.234375","-32746.234375"
"1727053478.6409538","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","31","31","-32931.7578125","-32931.7578125","-32931.7578125"
"1727053480.5811028","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","32","32","-32578.013671875","-32578.013671875","-32578.013671875"
"1727053482.5141177","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","33","33","-32713.806640625","-32713.806640625","-32713.806640625"
"1727053484.4536774","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","34","34","-33249.28515625","-33249.28515625","-33249.28515625"
"1727053486.8720317","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","35","35","-33095.97265625","-33095.97265625","-33095.97265625"
"1727053488.827389","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","36","36","-32660.44140625","-32660.44140625","-32660.44140625"
"1727053490.8001273","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","37","37","-32639.4140625","-32639.4140625","-32639.4140625"
"1727053492.755522","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","38","38","-32492.259765625","-32492.259765625","-32492.259765625"
"1727053495.2603023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","39","39","-32477.515625","-32477.515625","-32477.515625"
"1727053497.0852492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","40","40","-32679.0078125","-32679.0078125","-32679.0078125"
"1727053498.9628222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","41","41","-32482.75","-32482.75","-32482.75"
"1727053500.833172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","-32448.814453125","-32448.814453125","-32448.814453125"
"1727053503.018384","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","43","43","-32815.1640625","-32815.1640625","-32815.1640625"
"1727053504.8748953","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","44","44","-32846.90625","-32846.90625","-32846.90625"
"1727053506.7044067","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","45","45","-32618.029296875","-32618.029296875","-32618.029296875"
"1727053508.5311012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","46","46","-32610.439453125","-32610.439453125","-32610.439453125"
"1727053510.6221373","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","47","47","-32668.6328125","-32668.6328125","-32668.6328125"
"1727053512.4716053","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","48","48","-32478.78515625","-32478.78515625","-32478.78515625"
"1727053514.327582","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","49","49","-32473.28515625","-32473.28515625","-32473.28515625"
"1727053516.1626542","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","50","50","-32551.310546875","-32551.310546875","-32551.310546875"
"1727053518.3302288","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","51","51","-32531.125","-32531.125","-32531.125"
"1727053520.1647115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","52","52","-32910.265625","-32910.265625","-32910.265625"
"1727053521.9185238","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53","53","53","-32954.625","-32954.625","-32954.625"
"1727053523.7023785","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","54","54","-32452.1875","-32452.1875","-32452.1875"
"1727053525.7777658","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55","55","55","-32467.52734375","-32467.52734375","-32467.52734375"
"1727053527.5192857","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","56","56","-32532.9453125","-32532.9453125","-32532.9453125"
"1727053529.3949573","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","57","57","-32781.046875","-32781.046875","-32781.046875"
"1727053531.302936","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","58","58","-32658.0078125","-32658.0078125","-32658.0078125"
"1727053533.6460419","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59","59","59","-32641.69140625","-32641.69140625","-32641.69140625"
"1727053535.5686712","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","60","60","-32477.55859375","-32477.55859375","-32477.55859375"
"1727053537.5143614","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","61","61","-32518.134765625","-32518.134765625","-32518.134765625"
"1727053539.5587132","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62","62","62","-32707.2734375","-32707.2734375","-32707.2734375"
"1727053541.8627791","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","63","63","-32614.46875","-32614.46875","-32614.46875"
"1727053543.6315913","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64","64","64","-32454.251953125","-32454.251953125","-32454.251953125"
"1727053545.3718717","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65","65","65","-32417.51171875","-32417.51171875","-32417.51171875"
"1727053547.1409037","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66","66","66","-32557.671875","-32557.671875","-32557.671875"
"1727053549.2661388","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67","67","67","-32736.17578125","-32736.17578125","-32736.17578125"
"1727053551.187632","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68","68","68","-32775.0234375","-32775.0234375","-32775.0234375"
"1727053553.1102123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69","69","69","-32520.783203125","-32520.783203125","-32520.783203125"
"1727053554.988519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","70","70","-32453.666015625","-32453.666015625","-32453.666015625"
"1727053557.0302682","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71","71","71","-32839.4765625","-32839.4765625","-32839.4765625"
"1727053558.9495792","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","72","72","-32469.75","-32469.75","-32469.75"
"1727053561.0242252","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73","73","73","-32743.009765625","-32743.009765625","-32743.009765625"
"1727053563.0708451","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","74","74","-32559.912109375","-32559.912109375","-32559.912109375"
"1727053565.615344","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","75","75","-32358.791015625","-32358.791015625","-32358.791015625"
"1727053567.653404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","76","76","-32729.123046875","-32729.123046875","-32729.123046875"
"1727053569.690697","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77","77","77","-32358.125","-32358.125","-32358.125"
"1727053571.7519727","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78","78","78","-32875.8828125","-32875.8828125","-32875.8828125"
"1727053574.2458208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","79","79","-32797.2578125","-32797.2578125","-32797.2578125"
"1727053576.2811005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","80","80","-32514.58203125","-32514.58203125","-32514.58203125"
"1727053578.293927","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","81","81","-32459.80078125","-32459.80078125","-32459.80078125"
"1727053580.3076053","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","82","82","-32820.953125","-32820.953125","-32820.953125"
"1727053582.9293005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83","83","83","-32545.68359375","-32545.68359375","-32545.68359375"
"1727053584.971267","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","84","84","-32580.73828125","-32580.73828125","-32580.73828125"
"1727053586.9982789","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","85","85","-32833.4375","-32833.4375","-32833.4375"
"1727053589.0302074","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86","86","86","-32721.740234375","-32721.740234375","-32721.740234375"
"1727053591.4274755","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87","87","87","-32997.34375","-32997.34375","-32997.34375"
"1727053593.3658218","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","88","88","-32953.34765625","-32953.34765625","-32953.34765625"
"1727053595.2609262","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","89","89","-32633.3125","-32633.3125","-32633.3125"
"1727053597.1181397","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","90","90","-32730.255859375","-32730.255859375","-32730.255859375"
"1727053599.5101638","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","91","91","-32638.0078125","-32638.0078125","-32638.0078125"
"1727053601.4673173","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","92","92","-32851.23046875","-32851.23046875","-32851.23046875"
"1727053603.3986337","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93","93","93","-32818.9140625","-32818.9140625","-32818.9140625"
"1727053605.5424712","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94","94","94","-32701.87109375","-32701.87109375","-32701.87109375"
"1727053607.9688416","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","95","95","-32662.609375","-32662.609375","-32662.609375"
"1727053609.9446738","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","96","96","-32753.015625","-32753.015625","-32753.015625"
"1727053611.8623452","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97","97","97","-32964.46875","-32964.46875","-32964.46875"
