"Step","Name: compare_q_matrix-stationary - Log ZCSMC","Name: compare_q_matrix-stationary - Log ZCSMC__MIN","Name: compare_q_matrix-stationary - Log ZCSMC__MAX"
"104","-6011.346842447917","-6015.5419921875","-6007.869140625"
"105","-6010.120768229167","-6014.2021484375","-6006.7705078125"
"106","-6009.00439453125","-6013.0517578125","-6005.701171875"
"107","-6007.842936197917","-6011.873046875","-6004.521484375"
"108","-6006.727701822917","-6010.8212890625","-6003.3876953125"
"109","-6005.68017578125","-6009.591796875","-6002.4833984375"
"110","-6004.555826822917","-6008.4453125","-6001.326171875"
"111","-6003.514973958333","-6007.2734375","-6000.3388671875"
"112","-6002.4580078125","-6006.216796875","-5999.2724609375"
"113","-6001.501790364583","-6005.251953125","-5998.3115234375"
"114","-6000.475748697917","-6004.1455078125","-5997.376953125"
"115","-5999.467610677083","-6003.16796875","-5996.41015625"
"116","-5998.5478515625","-6002.31640625","-5995.4013671875"
"117","-5997.605794270833","-6001.30859375","-5994.5361328125"
"118","-5996.69580078125","-6000.4267578125","-5993.7060546875"
"119","-5995.77490234375","-5999.3994140625","-5992.8291015625"
"120","-5994.907063802083","-5998.5654296875","-5991.912109375"
"121","-5994.081217447917","-5997.6083984375","-5991.1513671875"
"122","-5993.14697265625","-5996.716796875","-5990.1962890625"
"123","-5992.322916666667","-5995.93359375","-5989.421875"
"124","-5991.478515625","-5995.005859375","-5988.5966796875"
"125","-5990.696614583333","-5994.2548828125","-5987.828125"
"126","-5989.913411458333","-5993.427734375","-5987.1142578125"
"127","-5989.1552734375","-5992.6787109375","-5986.3935546875"
"128","-5988.361328125","-5991.8193359375","-5985.53125"
"129","-5987.608723958333","-5991.072265625","-5984.884765625"
"130","-5986.9072265625","-5990.3642578125","-5984.16796875"
"131","-5986.171223958333","-5989.59765625","-5983.455078125"
"132","-5985.442708333333","-5988.833984375","-5982.6689453125"
"133","-5984.71484375","-5988.111328125","-5982.044921875"
"134","-5984.071126302083","-5987.5390625","-5981.451171875"
"135","-5983.39453125","-5986.677734375","-5980.8125"
"136","-5982.70166015625","-5985.9873046875","-5980.0751953125"
"137","-5982.0380859375","-5985.2578125","-5979.5673828125"
"138","-5981.428873697917","-5984.5908203125","-5978.9453125"
"139","-5980.79541015625","-5984.0673828125","-5978.3046875"
"140","-5980.180826822917","-5983.4541015625","-5977.673828125"
"141","-5979.5732421875","-5982.845703125","-5977.07421875"
"142","-5978.970703125","-5982.0458984375","-5976.572265625"
"143","-5978.380045572917","-5981.5849609375","-5975.927734375"
"144","-5977.809895833333","-5980.892578125","-5975.4287109375"
"145","-5977.23046875","-5980.3134765625","-5974.8896484375"
"146","-5976.653971354167","-5979.70703125","-5974.404296875"
"147","-5976.176595052083","-5979.1865234375","-5973.849609375"
"148","-5975.6142578125","-5978.6240234375","-5973.375"
"149","-5975.063313802083","-5978.0244140625","-5972.8095703125"
"150","-5974.583984375","-5977.48828125","-5972.3369140625"
"151","-5974.010416666667","-5976.9130859375","-5971.796875"
"152","-5973.588053385417","-5976.3984375","-5971.494140625"
"153","-5973.026041666667","-5975.861328125","-5970.8046875"
"154","-5972.57958984375","-5975.4697265625","-5970.4169921875"
"155","-5972.060872395833","-5974.8486328125","-5970.0146484375"
"156","-5971.567545572917","-5974.337890625","-5969.4521484375"
"157","-5971.11767578125","-5973.845703125","-5968.9990234375"
"158","-5970.6416015625","-5973.3779296875","-5968.5771484375"
"159","-5970.223958333333","-5973.0146484375","-5968.115234375"
"160","-5969.779622395833","-5972.45703125","-5967.7421875"
"161","-5969.355631510417","-5971.9677734375","-5967.2568359375"
"162","-5968.901529947917","-5971.5830078125","-5966.857421875"
"163","-5968.497721354167","-5971.119140625","-5966.5"
"164","-5968.08447265625","-5970.728515625","-5966.0615234375"
"165","-5967.657552083333","-5970.2578125","-5965.6396484375"
"166","-5967.262044270833","-5969.7724609375","-5965.388671875"
"167","-5966.827311197917","-5969.4453125","-5964.8154296875"
"168","-5966.501139322917","-5969.001953125","-5964.5908203125"
"169","-5966.085123697917","-5968.4501953125","-5964.2265625"
"170","-5965.726236979167","-5968.0859375","-5963.8408203125"
"171","-5965.338053385417","-5967.734375","-5963.5283203125"
"172","-5964.972981770833","-5967.4150390625","-5963.1787109375"
"173","-5964.576334635417","-5967.0107421875","-5962.76953125"
"174","-5964.2431640625","-5966.6865234375","-5962.408203125"
"175","-5963.917643229167","-5966.1767578125","-5962.2490234375"
"176","-5963.50830078125","-5965.8935546875","-5961.7451171875"
"177","-5963.16015625","-5965.5263671875","-5961.392578125"
"178","-5962.88330078125","-5965.1630859375","-5961.173828125"
"179","-5962.54541015625","-5964.763671875","-5960.984375"
"180","-5962.21923828125","-5964.4765625","-5960.560546875"
"181","-5961.839680989583","-5964.052734375","-5960.1513671875"
"182","-5961.56982421875","-5963.84375","-5959.8779296875"
"183","-5961.239908854167","-5963.5087890625","-5959.6650390625"
"184","-5960.904459635417","-5963.0732421875","-5959.2548828125"
"185","-5960.625651041667","-5962.837890625","-5959.0283203125"
"186","-5960.298665364583","-5962.4560546875","-5958.6923828125"
"187","-5959.991861979167","-5962.1748046875","-5958.494140625"
"188","-5959.739583333333","-5961.7822265625","-5958.140625"
"189","-5959.456217447917","-5961.478515625","-5957.9111328125"
"190","-5959.179361979167","-5961.134765625","-5957.62109375"
"191","-5958.878255208333","-5960.9296875","-5957.357421875"
"192","-5958.570638020833","-5960.6318359375","-5957.1455078125"
"193","-5958.29150390625","-5960.32421875","-5956.837890625"
"194","-5958.037109375","-5959.982421875","-5956.6220703125"
"195","-5957.753255208333","-5959.685546875","-5956.2607421875"
"196","-5957.50634765625","-5959.4091796875","-5956.095703125"
"197","-5957.287272135417","-5959.1943359375","-5955.8505859375"
"198","-5956.99755859375","-5959.0283203125","-5955.55859375"
"199","-5956.750651041667","-5958.6923828125","-5955.4267578125"
