"Step","compare_k-4 - Log ZCSMC","compare_k-4 - Log ZCSMC__MIN","compare_k-4 - Log ZCSMC__MAX","compare_k-8 - Log ZCSMC","compare_k-8 - Log ZCSMC__MIN","compare_k-8 - Log ZCSMC__MAX","compare_k-16 - Log ZCSMC","compare_k-16 - Log ZCSMC__MIN","compare_k-16 - Log ZCSMC__MAX"
"163","-5881.5947265625","-5881.5947265625","-5881.5947265625","-5839.810546875","-5839.810546875","-5839.810546875","-5825.3974609375","-5825.3974609375","-5825.3974609375"
"164","-5880.5595703125","-5880.5595703125","-5880.5595703125","-5839.2734375","-5839.2734375","-5839.2734375","-5825.0078125","-5825.0078125","-5825.0078125"
"165","-5879.3681640625","-5879.3681640625","-5879.3681640625","-5836.18359375","-5836.18359375","-5836.18359375","-5824.662109375","-5824.662109375","-5824.662109375"
"166","-5878.49609375","-5878.49609375","-5878.49609375","-5834.876953125","-5834.876953125","-5834.876953125","-5824.3125","-5824.3125","-5824.3125"
"167","-5877.4423828125","-5877.4423828125","-5877.4423828125","-5839.83203125","-5839.83203125","-5839.83203125","-5824.0361328125","-5824.0361328125","-5824.0361328125"
"168","-5874.384765625","-5874.384765625","-5874.384765625","-5839.9150390625","-5839.9150390625","-5839.9150390625","-5823.943359375","-5823.943359375","-5823.943359375"
"169","-5875.7548828125","-5875.7548828125","-5875.7548828125","-5833.140625","-5833.140625","-5833.140625","-5823.4853515625","-5823.4853515625","-5823.4853515625"
"170","-5875.33984375","-5875.33984375","-5875.33984375","-5838.5185546875","-5838.5185546875","-5838.5185546875","-5823.0283203125","-5823.0283203125","-5823.0283203125"
"171","-5874.9814453125","-5874.9814453125","-5874.9814453125","-5839.0546875","-5839.0546875","-5839.0546875","-5822.8974609375","-5822.8974609375","-5822.8974609375"
"172","-5874.3095703125","-5874.3095703125","-5874.3095703125","-5838.2734375","-5838.2734375","-5838.2734375","-5822.5654296875","-5822.5654296875","-5822.5654296875"
"173","-5873.5263671875","-5873.5263671875","-5873.5263671875","-5837.296875","-5837.296875","-5837.296875","-5822.2080078125","-5822.2080078125","-5822.2080078125"
"174","-5872.6435546875","-5872.6435546875","-5872.6435546875","-5837.23046875","-5837.23046875","-5837.23046875","-5821.998046875","-5821.998046875","-5821.998046875"
"175","-5871.9931640625","-5871.9931640625","-5871.9931640625","-5837.1826171875","-5837.1826171875","-5837.1826171875","-5821.669921875","-5821.669921875","-5821.669921875"
"176","-5871.2998046875","-5871.2998046875","-5871.2998046875","-5834.228515625","-5834.228515625","-5834.228515625","-5821.4765625","-5821.4765625","-5821.4765625"
"177","-5870.466796875","-5870.466796875","-5870.466796875","-5836.9189453125","-5836.9189453125","-5836.9189453125","-5821.0791015625","-5821.0791015625","-5821.0791015625"
"178","-5869.40234375","-5869.40234375","-5869.40234375","-5836.275390625","-5836.275390625","-5836.275390625","-5821.064453125","-5821.064453125","-5821.064453125"
"179","-5868.4384765625","-5868.4384765625","-5868.4384765625","-5834.998046875","-5834.998046875","-5834.998046875","-5820.9169921875","-5820.9169921875","-5820.9169921875"
"180","-5867.9853515625","-5867.9853515625","-5867.9853515625","-5833.8017578125","-5833.8017578125","-5833.8017578125","-5820.1630859375","-5820.1630859375","-5820.1630859375"
"181","-5867.5166015625","-5867.5166015625","-5867.5166015625","-5837.9384765625","-5837.9384765625","-5837.9384765625","-5820.1708984375","-5820.1708984375","-5820.1708984375"
"182","-5867.2373046875","-5867.2373046875","-5867.2373046875","-5835.4814453125","-5835.4814453125","-5835.4814453125","-5820.0263671875","-5820.0263671875","-5820.0263671875"
"183","-5867.0009765625","-5867.0009765625","-5867.0009765625","-5833.5224609375","-5833.5224609375","-5833.5224609375","-5819.7685546875","-5819.7685546875","-5819.7685546875"
"184","-5866.5703125","-5866.5703125","-5866.5703125","-5834.0615234375","-5834.0615234375","-5834.0615234375","-5819.3642578125","-5819.3642578125","-5819.3642578125"
"185","-5865.8359375","-5865.8359375","-5865.8359375","-5845.5068359375","-5845.5068359375","-5845.5068359375","-5819.15625","-5819.15625","-5819.15625"
"186","-5865.3193359375","-5865.3193359375","-5865.3193359375","-5841.27734375","-5841.27734375","-5841.27734375","-5819.1962890625","-5819.1962890625","-5819.1962890625"
"187","-5864.96484375","-5864.96484375","-5864.96484375","-5839.15234375","-5839.15234375","-5839.15234375","-5818.703125","-5818.703125","-5818.703125"
"188","-5864.650390625","-5864.650390625","-5864.650390625","-5842.6044921875","-5842.6044921875","-5842.6044921875","-5818.513671875","-5818.513671875","-5818.513671875"
"189","-5864.3388671875","-5864.3388671875","-5864.3388671875","-5842.22265625","-5842.22265625","-5842.22265625","-5818.345703125","-5818.345703125","-5818.345703125"
"190","-5863.880859375","-5863.880859375","-5863.880859375","-5834.251953125","-5834.251953125","-5834.251953125","-5817.9501953125","-5817.9501953125","-5817.9501953125"
"191","-5863.4326171875","-5863.4326171875","-5863.4326171875","-5835.23828125","-5835.23828125","-5835.23828125","-5817.701171875","-5817.701171875","-5817.701171875"
"192","-5863.25390625","-5863.25390625","-5863.25390625","-5841.8115234375","-5841.8115234375","-5841.8115234375","-5817.4296875","-5817.4296875","-5817.4296875"
"193","-5863.0986328125","-5863.0986328125","-5863.0986328125","-5840.59375","-5840.59375","-5840.59375","-5817.2763671875","-5817.2763671875","-5817.2763671875"
"194","-5862.814453125","-5862.814453125","-5862.814453125","-5833.890625","-5833.890625","-5833.890625","-5817.1494140625","-5817.1494140625","-5817.1494140625"
"195","-5862.6298828125","-5862.6298828125","-5862.6298828125","-5832.484375","-5832.484375","-5832.484375","-5817.04296875","-5817.04296875","-5817.04296875"
"196","-5862.1630859375","-5862.1630859375","-5862.1630859375","-5835.1826171875","-5835.1826171875","-5835.1826171875","-5816.8125","-5816.8125","-5816.8125"
"197","-5861.9912109375","-5861.9912109375","-5861.9912109375","-5833.7373046875","-5833.7373046875","-5833.7373046875","-5816.6953125","-5816.6953125","-5816.6953125"
"198","-5861.5908203125","-5861.5908203125","-5861.5908203125","-5833.2607421875","-5833.2607421875","-5833.2607421875","-5817.1025390625","-5817.1025390625","-5817.1025390625"
"199","-5861.3984375","-5861.3984375","-5861.3984375","-5835.33203125","-5835.33203125","-5835.33203125","-5816.3720703125","-5816.3720703125","-5816.3720703125"
