"Step","compare_k-4 - Log ZCSMC","compare_k-4 - Log ZCSMC__MIN","compare_k-4 - Log ZCSMC__MAX","compare_k-8 - Log ZCSMC","compare_k-8 - Log ZCSMC__MIN","compare_k-8 - Log ZCSMC__MAX","compare_k-16 - Log ZCSMC","compare_k-16 - Log ZCSMC__MIN","compare_k-16 - Log ZCSMC__MAX"
"37","-5970.33203125","-5970.33203125","-5970.33203125","-5962.3974609375","-5962.3974609375","-5962.3974609375","-5955.1083984375","-5955.1083984375","-5955.1083984375"
"38","-5969.2177734375","-5969.2177734375","-5969.2177734375","-5961.267578125","-5961.267578125","-5961.267578125","-5953.341796875","-5953.341796875","-5953.341796875"
"39","-5968.5009765625","-5968.5009765625","-5968.5009765625","-5959.845703125","-5959.845703125","-5959.845703125","-5952.0927734375","-5952.0927734375","-5952.0927734375"
"40","-5967.7861328125","-5967.7861328125","-5967.7861328125","-5958.0634765625","-5958.0634765625","-5958.0634765625","-5950.625","-5950.625","-5950.625"
"41","-5966.830078125","-5966.830078125","-5966.830078125","-5956.3076171875","-5956.3076171875","-5956.3076171875","-5948.919921875","-5948.919921875","-5948.919921875"
"42","-5965.5654296875","-5965.5654296875","-5965.5654296875","-5954.9931640625","-5954.9931640625","-5954.9931640625","-5947.056640625","-5947.056640625","-5947.056640625"
"43","-5963.80859375","-5963.80859375","-5963.80859375","-5954.10546875","-5954.10546875","-5954.10546875","-5945.2021484375","-5945.2021484375","-5945.2021484375"
"44","-5962.0361328125","-5962.0361328125","-5962.0361328125","-5953.6708984375","-5953.6708984375","-5953.6708984375","-5943.5625","-5943.5625","-5943.5625"
"45","-5960.0234375","-5960.0234375","-5960.0234375","-5953.3828125","-5953.3828125","-5953.3828125","-5942.0615234375","-5942.0615234375","-5942.0615234375"
"46","-5958.203125","-5958.203125","-5958.203125","-5953.1064453125","-5953.1064453125","-5953.1064453125","-5940.86328125","-5940.86328125","-5940.86328125"
"47","-5956.4365234375","-5956.4365234375","-5956.4365234375","-5952.69921875","-5952.69921875","-5952.69921875","-5939.798828125","-5939.798828125","-5939.798828125"
"48","-5954.8857421875","-5954.8857421875","-5954.8857421875","-5952.2216796875","-5952.2216796875","-5952.2216796875","-5938.537109375","-5938.537109375","-5938.537109375"
"49","-5953.59765625","-5953.59765625","-5953.59765625","-5951.412109375","-5951.412109375","-5951.412109375","-5937.154296875","-5937.154296875","-5937.154296875"
"50","-5952.7041015625","-5952.7041015625","-5952.7041015625","-5950.4619140625","-5950.4619140625","-5950.4619140625","-5935.5927734375","-5935.5927734375","-5935.5927734375"
"51","-5952.146484375","-5952.146484375","-5952.146484375","-5949.4638671875","-5949.4638671875","-5949.4638671875","-5933.849609375","-5933.849609375","-5933.849609375"
"52","-5951.681640625","-5951.681640625","-5951.681640625","-5948.447265625","-5948.447265625","-5948.447265625","-5932.1318359375","-5932.1318359375","-5932.1318359375"
"53","-5951.408203125","-5951.408203125","-5951.408203125","-5947.548828125","-5947.548828125","-5947.548828125","-5930.396484375","-5930.396484375","-5930.396484375"
"54","-5950.9697265625","-5950.9697265625","-5950.9697265625","-5946.7109375","-5946.7109375","-5946.7109375","-5928.875","-5928.875","-5928.875"
"55","-5950.6396484375","-5950.6396484375","-5950.6396484375","-5945.9638671875","-5945.9638671875","-5945.9638671875","-5927.5654296875","-5927.5654296875","-5927.5654296875"
"56","-5950.0537109375","-5950.0537109375","-5950.0537109375","-5945.3349609375","-5945.3349609375","-5945.3349609375","-5925.9384765625","-5925.9384765625","-5925.9384765625"
"57","-5949.17578125","-5949.17578125","-5949.17578125","-5944.423828125","-5944.423828125","-5944.423828125","-5924.25","-5924.25","-5924.25"
"58","-5948.4228515625","-5948.4228515625","-5948.4228515625","-5943.6513671875","-5943.6513671875","-5943.6513671875","-5922.4033203125","-5922.4033203125","-5922.4033203125"
"59","-5947.7431640625","-5947.7431640625","-5947.7431640625","-5942.6064453125","-5942.6064453125","-5942.6064453125","-5920.3544921875","-5920.3544921875","-5920.3544921875"
"60","-5947.01953125","-5947.01953125","-5947.01953125","-5941.626953125","-5941.626953125","-5941.626953125","-5918.427734375","-5918.427734375","-5918.427734375"
"61","-5946.3359375","-5946.3359375","-5946.3359375","-5940.41015625","-5940.41015625","-5940.41015625","-5916.423828125","-5916.423828125","-5916.423828125"
"62","-5945.5966796875","-5945.5966796875","-5945.5966796875","-5939.2158203125","-5939.2158203125","-5939.2158203125","-5914.5498046875","-5914.5498046875","-5914.5498046875"
"63","-5945.0654296875","-5945.0654296875","-5945.0654296875","-5937.8212890625","-5937.8212890625","-5937.8212890625","-5912.5927734375","-5912.5927734375","-5912.5927734375"
"64","-5944.6552734375","-5944.6552734375","-5944.6552734375","-5936.39453125","-5936.39453125","-5936.39453125","-5910.5888671875","-5910.5888671875","-5910.5888671875"
"65","-5944.0625","-5944.0625","-5944.0625","-5935.0615234375","-5935.0615234375","-5935.0615234375","-5908.4169921875","-5908.4169921875","-5908.4169921875"
"66","-5943.6396484375","-5943.6396484375","-5943.6396484375","-5933.5283203125","-5933.5283203125","-5933.5283203125","-5906.341796875","-5906.341796875","-5906.341796875"
"67","-5943.2412109375","-5943.2412109375","-5943.2412109375","-5931.810546875","-5931.810546875","-5931.810546875","-5904.3056640625","-5904.3056640625","-5904.3056640625"
"68","-5942.60546875","-5942.60546875","-5942.60546875","-5930.279296875","-5930.279296875","-5930.279296875","-5902.330078125","-5902.330078125","-5902.330078125"
"69","-5942.1943359375","-5942.1943359375","-5942.1943359375","-5928.5576171875","-5928.5576171875","-5928.5576171875","-5900.4521484375","-5900.4521484375","-5900.4521484375"
"70","-5941.5947265625","-5941.5947265625","-5941.5947265625","-5926.7412109375","-5926.7412109375","-5926.7412109375","-5898.513671875","-5898.513671875","-5898.513671875"
"71","-5941.0576171875","-5941.0576171875","-5941.0576171875","-5924.736328125","-5924.736328125","-5924.736328125","-5896.6865234375","-5896.6865234375","-5896.6865234375"
"72","-5940.6474609375","-5940.6474609375","-5940.6474609375","-5922.8359375","-5922.8359375","-5922.8359375","-5894.8515625","-5894.8515625","-5894.8515625"
"73","-5940.138671875","-5940.138671875","-5940.138671875","-5920.7587890625","-5920.7587890625","-5920.7587890625","-5893.095703125","-5893.095703125","-5893.095703125"
"74","-5939.6826171875","-5939.6826171875","-5939.6826171875","-5918.544921875","-5918.544921875","-5918.544921875","-5891.5986328125","-5891.5986328125","-5891.5986328125"
"75","-5939.25390625","-5939.25390625","-5939.25390625","-5916.4912109375","-5916.4912109375","-5916.4912109375","-5890.330078125","-5890.330078125","-5890.330078125"
"76","-5938.9658203125","-5938.9658203125","-5938.9658203125","-5914.384765625","-5914.384765625","-5914.384765625","-5888.9111328125","-5888.9111328125","-5888.9111328125"
