"Relative Time (Process)","Name: DS5-phase1 - _step","Name: DS5-phase1 - _step__MIN","Name: DS5-phase1 - _step__MAX","Name: DS5-phase1 - Log ZCSMC","Name: DS5-phase1 - Log ZCSMC__MIN","Name: DS5-phase1 - Log ZCSMC__MAX"
"2.048419543","0","0","0","-8588.388671875","-8588.388671875","-8588.388671875"
"3.557494609","1","1","1","-8350.5419921875","-8350.5419921875","-8350.5419921875"
"5.120243439","2","2","2","-8181.66162109375","-8181.66162109375","-8181.66162109375"
"7.293629223","3","3","3","-8121.91455078125","-8121.91455078125","-8121.91455078125"
"8.943250871","4","4","4","-8150.63525390625","-8150.63525390625","-8150.63525390625"
"10.783657521","5","5","5","-8131.41015625","-8131.41015625","-8131.41015625"
"12.610432849","6","6","6","-8108.6328125","-8108.6328125","-8108.6328125"
"15.065463827","7","7","7","-8102.31640625","-8102.31640625","-8102.31640625"
"16.892968221","8","8","8","-8105.96875","-8105.96875","-8105.96875"
"18.571338213","9","9","9","-8175.7060546875","-8175.7060546875","-8175.7060546875"
"20.164210625","10","10","10","-8012.3828125","-8012.3828125","-8012.3828125"
"22.552375054","11","11","11","-8034.29248046875","-8034.29248046875","-8034.29248046875"
"24.100762685","12","12","12","-8069.08203125","-8069.08203125","-8069.08203125"
"25.646413119","13","13","13","-8093.556640625","-8093.556640625","-8093.556640625"
"27.236304682","14","14","14","-8128.79052734375","-8128.79052734375","-8128.79052734375"
"29.379832792","15","15","15","-8015.5595703125","-8015.5595703125","-8015.5595703125"
"30.931592787","16","16","16","-7964.1796875","-7964.1796875","-7964.1796875"
"32.329415639","17","17","17","-8025.2333984375","-8025.2333984375","-8025.2333984375"
"33.716415682","18","18","18","-8024.505859375","-8024.505859375","-8024.505859375"
"35.611049364","19","19","19","-8063.037109375","-8063.037109375","-8063.037109375"
"37.200728492","20","20","20","-8044.763671875","-8044.763671875","-8044.763671875"
"38.733271704","21","21","21","-8069.65283203125","-8069.65283203125","-8069.65283203125"
"40.278431992","22","22","22","-8081.68603515625","-8081.68603515625","-8081.68603515625"
"42.420621715","23","23","23","-8016.53564453125","-8016.53564453125","-8016.53564453125"
"43.94416299","24","24","24","-7992.1015625","-7992.1015625","-7992.1015625"
"45.511555108","25","25","25","-8050.173828125","-8050.173828125","-8050.173828125"
"47.250423732","26","26","26","-7959.79052734375","-7959.79052734375","-7959.79052734375"
"49.541845367","27","27","27","-8022.7607421875","-8022.7607421875","-8022.7607421875"
"51.300387688","28","28","28","-8010.52685546875","-8010.52685546875","-8010.52685546875"
"53.032839976","29","29","29","-8005.54443359375","-8005.54443359375","-8005.54443359375"
"54.79368298","30","30","30","-7932.4169921875","-7932.4169921875","-7932.4169921875"
"57.121594056","31","31","31","-8045.5419921875","-8045.5419921875","-8045.5419921875"
"58.895554386","32","32","32","-7975.0078125","-7975.0078125","-7975.0078125"
"60.659529881","33","33","33","-8009.3037109375","-8009.3037109375","-8009.3037109375"
"62.370853044","34","34","34","-7955.0810546875","-7955.0810546875","-7955.0810546875"
"64.869729304","35","35","35","-7937.51904296875","-7937.51904296875","-7937.51904296875"
"66.61756595","36","36","36","-7954.6455078125","-7954.6455078125","-7954.6455078125"
"68.360385542","37","37","37","-8026.5048828125","-8026.5048828125","-8026.5048828125"
"70.114833355","38","38","38","-7985.6640625","-7985.6640625","-7985.6640625"
"72.484653613","39","39","39","-8049.505859375","-8049.505859375","-8049.505859375"
"74.23019795","40","40","40","-7948.37939453125","-7948.37939453125","-7948.37939453125"
"75.99361256","41","41","41","-7938.728515625","-7938.728515625","-7938.728515625"
"77.738678598","42","42","42","-7917.9638671875","-7917.9638671875","-7917.9638671875"
"80.047837638","43","43","43","-7925.955078125","-7925.955078125","-7925.955078125"
"81.838504802","44","44","44","-7966.52392578125","-7966.52392578125","-7966.52392578125"
"83.586597067","45","45","45","-8042.4052734375","-8042.4052734375","-8042.4052734375"
"85.286678695","46","46","46","-7969.4970703125","-7969.4970703125","-7969.4970703125"
"87.767354285","47","47","47","-8094.20703125","-8094.20703125","-8094.20703125"
"89.515975922","48","48","48","-7967.33984375","-7967.33984375","-7967.33984375"
"91.27167934","49","49","49","-7946.017578125","-7946.017578125","-7946.017578125"
"93.00381622","50","50","50","-7973.9951171875","-7973.9951171875","-7973.9951171875"
"95.337756763","51","51","51","-7993.7255859375","-7993.7255859375","-7993.7255859375"
"97.107906119","52","52","52","-7959.423828125","-7959.423828125","-7959.423828125"
"98.829964546","53","53","53","-7999.2060546875","-7999.2060546875","-7999.2060546875"
"100.56727233","54","54","54","-7955.32958984375","-7955.32958984375","-7955.32958984375"
"102.899501669","55","55","55","-8012.70556640625","-8012.70556640625","-8012.70556640625"
"104.663583704","56","56","56","-7944.4873046875","-7944.4873046875","-7944.4873046875"
"106.41315392","57","57","57","-7931.8203125","-7931.8203125","-7931.8203125"
"108.195724228","58","58","58","-8044.68212890625","-8044.68212890625","-8044.68212890625"
"110.672593932","59","59","59","-7979.8935546875","-7979.8935546875","-7979.8935546875"
"112.394283959","60","60","60","-7936.54931640625","-7936.54931640625","-7936.54931640625"
"114.32508236","61","61","61","-7951.283203125","-7951.283203125","-7951.283203125"
"116.108956325","62","62","62","-7904.8193359375","-7904.8193359375","-7904.8193359375"
"118.497377629","63","63","63","-7906.439453125","-7906.439453125","-7906.439453125"
"120.303557482","64","64","64","-7949.4208984375","-7949.4208984375","-7949.4208984375"
"122.085596805","65","65","65","-7961.291015625","-7961.291015625","-7961.291015625"
"123.805871836","66","66","66","-7943.1708984375","-7943.1708984375","-7943.1708984375"
